"Les Rezéens et le bruit du trafic aérien"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Détails de la soumission"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Séquentiel"|"SID"|"Heure de soumission"|"Heure de complétion"|"Heure de modification"|"Brouillon"|"Adresse IP"|"UID"|"Nom d'utilisateur"|"1/ En pensant aux 12 derniers mois, lorsque vous êtes chez vous, dans quelle mesure le bruit des avions vous gêne-t-il ?"|"2/ En pensant aux 12 derniers mois, lorsque vous êtes chez vous, durant la nuit ou lorsque vous souhaitez dormir, dans quelle mesure le bruit des avions vous gêne-t-il ?"|"3/ Êtes-vous... "|"4/ Quelle est votre tranche d'âge ?"|"5/ En ce qui concerne le bruit en général, estimez-vous que par rapport aux personnes de votre entourage, vous êtes..."|"6/ Dans quel quartier habitez-vous ?"|"7/ Êtes-vous situés ""oui"" ou ""non"" dans la zone III du Plan de Gêne Sonore ? "|" Souhaitez-vous nous faire part de vos commentaires sur cette enquête ou plus généralement sur le bruit des avions ?"
"1"|"22113485"|"30/05/2024 - 15:54"|"30/05/2024 - 15:54"|"30/05/2024 - 15:54"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"un homme"|"40-54"|"un peu plus sensible"|"Pont-Rousseau"|"Non"|""
"2"|"22148239"|"01/06/2024 - 21:39"|"01/06/2024 - 21:39"|"01/06/2024 - 21:39"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"une femme"|"55-64"|"aussi sensible"|"Rezé-Hôtel de ville"|"Oui"|""
"3"|"22185415"|"04/06/2024 - 11:24"|"04/06/2024 - 11:24"|"04/06/2024 - 11:24"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Légèrement"|"un homme"|"40-54"|"beaucoup moins sensible"|"La Blordière"|"Non"|""
"4"|"22198749"|"04/06/2024 - 19:13"|"04/06/2024 - 19:13"|"04/06/2024 - 19:13"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"un homme"|"40-54"|"un peu moins sensible"|"La Blordière"|"Non"|"Le parcours des avions a changé en 8 ans et les décollages (plus fréquents) se sont considérablement rapprocher de Rezé blordiere (quartier des naudieres).
Il devient difficile de tenir une conversation en extérieur.
Nous sommes réveillés tous les matins a 6h30"
"5"|"22199067"|"04/06/2024 - 19:30"|"04/06/2024 - 19:30"|"04/06/2024 - 19:30"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Légèrement"|"une femme"|"40-54"|"aussi sensible"|"La Blordière"|"Oui"|""
"6"|"22199089"|"04/06/2024 - 19:32"|"04/06/2024 - 19:32"|"04/06/2024 - 19:32"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"un homme"|"40-54"|"un peu plus sensible"|"Ragon"|"Non"|"Gêne occasionnée principalement le matin à partir de 6h15, pas toute l'année. "
"7"|"22199618"|"04/06/2024 - 20:09"|"04/06/2024 - 20:09"|"04/06/2024 - 20:09"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Extrêmement"|"une femme"|"40-54"|"beaucoup plus sensible"|"Ragon"|"Non"|""
"8"|"22199812"|"04/06/2024 - 20:24"|"04/06/2024 - 20:24"|"04/06/2024 - 20:24"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"65-79"|"aussi sensible"|"La Blordière"|"Non"|"Augmentation du trafic aérien avec un non respect des tranches horaires matin et soir.
Habitante de Rezé depuis 1988, nous avons vu les nuisances sonores augmenter, surtout depuis 2022. Réveil très matinal dès 6h et le soir jusqu’à minuit !"
"9"|"22200195"|"04/06/2024 - 20:48"|"04/06/2024 - 20:48"|"04/06/2024 - 20:48"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"une femme"|"25-39"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|""
"10"|"22200421"|"04/06/2024 - 21:03"|"04/06/2024 - 21:03"|"04/06/2024 - 21:03"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"une femme"|"25-39"|"un peu moins sensible"|"La Blordière"|"Non"|"Bonjour, 
je remarque que certains soirs, il y a des décollages après minuit et que j'ai l'impression que certains avions volent bas ou font davantage de bruits que certains.
Cdlt"
